id,sold,main_salary,second_salary,annual_bonus,loan_os,house_value_change,bank_balance_main,credit_card_bal,car_loan,used_bank_overdraft,owns_property,remarried,divorce,age,shares,savings,children,areacode,credit_card,blah
1,0,56000,0,0,-249,1000,68,2136,0,0,0,0,0,50,25,5883,2,7,Y,A
2,0,16000,0,0,0,0,2634,810,0,0,0,0,0,31,120,0,0,1,N,B
3,1,12000,0,0,-518,0,2,1704,0,1,0,0,1,23,0,2789,4,5,Y,C
4,0,0,0,0,-1,0,36,0,0,0,0,0,0,19,0,0,4,2,N,D
5,1,22000,0,0,-223,0,534,1118,0,1,0,0,0,35,0,8171,0,5,Y,E
6,0,31000,0,0,-98,0,175,1265,0,0,0,0,0,26,0,1663,4,5,Y,F
7,0,54000,1000,0,-101,0,29,523,1000,1,1,0,0,69,0,5608,0,7,Y,G
8,0,21000,0,0,-2,1000,3015,96,0,0,0,0,0,21,0,322,0,4,N,H
9,0,14000,0,23,-251,1000,1436,420,0,0,0,0,0,23,173,0,0,5,Y,I
10,0,22000,2000,0,-172,6000,8480,259,0,0,1,0,0,39,38,0,0,9,Y,J
11,0,33000,10000,0,-9616,15000,12251,999,40000,0,1,0,0,48,0,0,0,9,Y,K
12,0,2000,0,0,0,0,1162,3,0,0,0,0,0,18,0,0,0,1,N,L
13,0,41000,0,0,-1,0,1662,1875,0,0,0,0,0,37,0,1022,0,4,N,M
14,0,0,0,7600,-9,7000,1637,0,0,0,1,0,0,18,426,0,4,5,N,N
15,0,46000,0,0,-10,6000,0,1722,0,0,0,0,0,36,0,139,0,2,N,O
16,0,2000,0,0,-14,0,24,77,0,1,0,0,0,18,0,127,4,5,Y,P
17,0,17000,0,1,-77,0,254,267,0,0,0,0,1,41,0,0,2,6,N,Q
18,0,16000,0,41,-83,0,7377,951,2000,0,1,0,0,39,532,228,0,7,Y,R
19,0,0,0,0,-10,9000,11,4555,0,0,1,0,0,60,0,7296,0,3,N,S
20,0,30000,0,0,-506,-1000,3308,1344,0,0,1,0,0,50,0,422,0,3,Y,T
21,0,1000,0,0,0,0,48,55,0,0,0,0,0,18,0,0,4,1,N,U
22,0,16000,0,0,-413,0,0,1425,0,1,0,0,0,22,0,0,0,7,Y,V
23,0,8000,0,0,-1,-5000,438,790,0,0,0,0,0,26,0,0,0,7,N,W
24,0,7000,0,34,-1,0,3843,206,0,0,0,0,0,49,4,47,0,2,N,X
25,0,97000,4000,0,-653,6000,6,6854,0,0,1,0,0,41,0,182,0,4,N,Y
26,0,0,0,0,0,0,274,4,0,0,0,0,0,19,0,0,0,3,N,Z
27,0,0,0,0,-14,3000,4249,224,0,0,0,0,0,58,0,0,0,5,N,A
28,0,0,0,0,-7,0,50,0,0,0,0,0,0,18,0,0,4,4,N,B
29,0,16000,0,0,-67,0,6,2162,0,1,0,0,0,28,36,1562,0,8,N,C
30,0,9000,0,0,-130,-19000,160,1661,0,0,0,0,0,37,0,217,3,6,N,D
31,0,0,0,0,0,0,42,0,0,0,0,0,0,18,0,0,4,1,N,E
32,0,9000,0,56,-48,1000,2063,249,1000,0,0,0,0,31,1135,0,0,2,Y,F
33,0,69000,0,0,-1,3000,10839,269,0,0,0,0,0,30,364,0,0,1,N,G
34,0,51000,0,0,-19,3000,4922,1706,0,0,0,0,0,28,0,0,2,9,N,H
35,0,34000,0,0,-1032,-1000,34,2458,0,0,1,0,0,42,0,849,1,9,Y,I
36,0,43000,0,0,-443,0,4734,2169,0,0,1,0,0,23,0,0,2,6,Y,J
37,0,56000,8000,0,-1,5000,14,4574,0,0,0,0,0,44,0,13928,0,4,N,K
38,0,10000,0,0,-58,-1000,1,3360,1000,1,0,0,1,27,0,1742,0,4,N,L
39,0,0,0,0,0,0,123,27,0,0,0,0,0,18,0,0,1,7,N,M
40,0,41000,0,0,-1572,5000,8244,2127,0,0,1,0,0,43,1,518,0,7,Y,N
41,0,0,0,0,-1,0,0,84,0,1,0,0,0,18,0,0,0,1,Y,O
42,0,43000,0,121,-9,0,165,0,0,0,0,0,0,44,0,0,0,1,N,P
43,0,124000,0,0,-296,-19000,278,22799,0,0,0,0,0,23,0,12356,0,1,N,Q
44,0,0,0,0,-44,-3000,862,122,0,0,0,0,0,22,707,0,0,7,Y,R
45,0,30000,0,0,0,2000,2896,2073,0,0,0,0,0,20,60,0,4,1,N,S
46,0,4000,0,0,-4,0,278,193,0,0,0,0,0,29,0,76,4,8,N,T
47,0,17000,0,0,-6,0,917,721,0,0,0,0,0,46,0,0,0,8,N,U
48,0,8000,0,0,-36,0,1690,371,0,0,1,0,0,59,0,1338,0,5,Y,V
49,0,48000,6000,0,-154,12000,344,2340,0,1,0,0,0,63,0,2884,0,4,Y,W
50,0,0,0,0,-1,43000,0,1634,0,0,1,0,0,38,10096,0,0,1,N,X
51,0,0,0,0,0,0,50,0,0,0,0,0,0,19,0,0,4,5,N,Y
52,1,51000,1000,0,-715,2000,1,5797,0,1,0,0,0,29,60,5753,4,5,Y,Z
53,0,13000,0,0,-172,0,2123,801,0,0,0,0,0,59,0,0,0,5,Y,A
54,0,0,0,1413,-4,4000,6645,1525,0,0,0,0,0,28,3025,1208,0,3,N,B
55,0,0,0,0,-73,0,0,279,0,1,1,0,0,56,0,112,0,4,N,C
56,0,90000,0,0,-1319,1000,1399,4744,0,0,1,0,0,27,350,19163,1,5,Y,D
57,0,14000,0,0,-114,0,329,395,0,0,0,0,0,27,0,1572,0,6,Y,E
58,1,21000,0,0,-41,1000,46,2297,0,1,0,0,0,31,0,0,3,4,Y,F
59,0,11000,0,0,-211,0,6297,442,0,0,1,0,0,31,502,0,0,9,Y,G
60,0,37000,0,0,-22629,-16000,23704,48,0,0,1,0,0,25,3693,0,3,1,N,H
61,0,0,0,0,0,0,57,0,0,0,0,0,0,18,0,0,0,9,N,I
62,0,49000,0,0,-6,1000,4663,5708,0,0,1,0,0,24,1149,0,0,4,Y,J
63,0,28000,1000,0,-298,2000,269,706,0,0,0,0,0,26,5,143,0,4,Y,K
64,0,24000,0,0,-1140,0,0,2412,0,1,1,0,0,30,114,0,0,8,Y,L
65,0,0,0,0,-6546,13000,0,1926,0,0,1,0,0,31,0,0,0,2,Y,M
66,0,26000,1000,0,0,2000,6098,1408,0,0,0,0,0,28,20,0,0,6,N,N
67,0,18000,0,0,-348,0,0,2903,0,1,1,0,0,57,0,1268,0,1,Y,O
68,0,25000,0,0,-260,0,1057,1317,0,0,1,0,0,60,97,38,0,9,Y,P
69,0,0,0,0,-1,0,44,0,0,0,0,0,0,18,0,0,0,1,N,Q
70,0,17000,0,0,-1,0,1148,3055,0,0,0,0,0,33,250,0,2,1,N,R
71,0,0,0,0,0,0,49,13,0,0,0,0,0,18,0,0,4,2,N,S
72,0,9000,0,0,-10,0,125,467,0,0,0,0,0,44,0,0,0,2,N,T
73,0,34000,0,156,0,2000,1,1643,0,1,0,0,0,31,39,7147,0,4,Y,U
74,1,23000,0,0,-268,-3000,144,2439,1000,1,0,0,1,26,0,591,4,4,Y,V
75,0,46000,6000,0,-1,3000,5995,2632,0,0,0,0,0,50,21,3875,1,6,N,W
76,0,25000,0,0,-5,0,4125,581,0,0,0,0,0,25,0,0,2,1,N,X
77,0,21000,0,0,-61,-3000,171,3136,0,0,0,0,0,27,0,1429,1,5,Y,Y
78,0,122000,0,0,-207,2000,1818,8539,0,1,0,0,0,39,0,31117,0,1,N,Z
79,0,39000,0,0,-175,0,57,2502,2000,1,0,0,0,42,0,6616,0,2,Y,A
80,0,0,0,73,-7,1000,2270,1757,0,0,0,0,0,28,2275,1633,3,7,N,B
81,0,21000,0,0,-7339,-7000,6607,374,0,0,1,0,0,23,0,0,1,1,Y,C
82,0,8000,1000,0,-2,1000,6688,1688,0,0,0,0,0,23,0,0,0,2,N,D
83,0,0,0,0,-57,0,1364,1071,0,0,1,0,0,21,330,936,0,8,Y,E
84,0,7000,0,0,-26,0,7,518,0,1,0,0,0,31,0,117,0,2,Y,F
85,0,0,0,0,0,0,7,0,0,0,0,0,0,18,0,0,4,1,N,G
86,0,0,0,0,0,10000,36254,986,0,0,1,0,0,28,0,0,0,1,N,H
87,0,20000,0,0,-31,0,937,2370,0,0,0,0,0,65,0,1331,0,1,N,I
88,0,9000,0,0,-4,1000,5655,494,0,0,0,0,0,36,0,0,0,4,N,J
89,0,31000,0,0,-41,0,79,1192,0,0,0,0,0,22,39,1171,1,7,Y,K
90,0,11000,0,0,-1,0,499,496,0,0,0,0,0,28,553,0,0,4,N,L
91,0,24000,0,0,-19,0,0,4034,2000,0,0,0,0,20,1897,0,4,1,N,M
92,0,10000,0,0,-67,0,118,391,0,0,0,0,0,23,0,0,1,1,Y,N
93,0,8000,0,0,-31,0,71,549,0,0,0,0,0,18,0,306,4,8,Y,O
94,0,339000,0,0,-315,5000,539,31646,0,0,0,0,0,38,0,47326,0,1,N,P
95,0,158000,1000,0,-45,16000,18855,6850,0,0,0,0,0,43,106,1295,0,5,N,Q
96,0,4000,0,0,-5,1000,1270,33,0,0,0,0,0,21,0,0,4,1,N,R
97,0,70000,0,0,-1419,1000,0,6183,0,1,1,0,0,61,115,865,0,2,Y,S
98,0,38000,1000,0,-98,1000,828,1912,6000,0,0,0,0,32,0,4368,1,3,Y,T
99,0,55000,1000,0,-64,4000,3391,2469,0,0,1,0,0,27,0,4165,0,7,Y,U
100,0,12000,0,0,-7,2000,3480,344,0,0,0,0,0,27,3180,182,0,1,N,V
101,0,43000,0,0,-210,0,3,3586,0,1,1,0,0,22,0,924,0,7,Y,W
102,0,0,0,0,-127,0,85,17,0,0,1,0,0,18,0,0,4,9,Y,X
103,0,0,0,0,-494,-5000,0,5321,0,1,0,0,1,41,0,2654,1,6,Y,Y
104,0,47000,0,0,-204,3000,1913,3608,0,0,0,0,0,44,0,0,0,1,N,Z
105,0,16000,0,0,-38,0,346,1587,0,1,0,0,0,24,0,0,2,2,Y,A
106,0,11000,0,0,-1,0,2611,816,0,0,0,0,0,30,0,0,0,4,N,B
107,0,29000,0,0,-71,1000,118,2347,0,1,0,0,0,24,0,3766,0,7,N,C
108,0,0,179000,0,-24,0,588,25908,0,0,1,0,0,62,0,0,1,7,N,D
109,0,119000,20000,0,-3,-4000,2,10712,0,0,1,0,0,70,0,25661,0,5,N,E
110,0,33000,0,3,-188,2000,3171,2712,0,0,1,0,0,51,38,4298,0,9,Y,F
111,0,7000,0,7,-27,0,620,3483,0,0,0,0,0,50,0,0,0,2,N,G
112,0,30000,0,0,-24,2000,3494,2419,0,0,1,0,0,51,337,4576,0,5,N,H
113,0,27000,0,0,-31,-3000,1486,634,0,0,1,0,0,26,0,664,0,5,Y,I
114,0,44000,0,0,-1226,1000,0,2777,0,1,1,0,0,48,0,25288,0,2,N,J
115,0,22000,0,0,-939,0,54,3241,1000,1,0,0,0,41,0,5365,0,7,Y,K
116,0,33000,0,0,-397,0,304,3919,0,1,0,0,0,28,0,2556,3,1,Y,L
117,0,527000,0,0,0,0,5874,46554,0,0,0,0,0,28,0,0,4,5,N,M
118,1,10000,0,0,-79,-3000,0,1548,0,1,0,0,0,21,0,0,4,1,N,N
119,0,10000,0,0,-122,0,288,3191,0,0,1,0,0,32,0,0,0,5,Y,O
120,0,21000,0,0,-50,0,1449,1837,0,0,0,0,0,37,0,2743,0,3,Y,P
121,1,19000,0,0,-181,0,15,2022,0,1,0,0,1,52,31,830,0,8,Y,Q
122,0,7000,0,0,-109,0,188,2134,0,0,0,0,0,20,230,76,4,1,N,R
123,0,0,0,0,0,0,62,13,0,0,0,0,0,19,0,0,2,1,N,S
124,0,2000,0,0,0,2000,2809,0,0,0,0,0,0,18,0,0,0,2,N,T
125,0,1000,0,0,0,0,714,4,0,0,0,0,0,18,0,0,0,2,N,U
126,0,15000,0,0,0,-3000,296,567,0,0,0,0,0,36,459,343,0,1,N,V
127,0,0,0,0,-276,0,3567,7991,0,0,1,0,0,43,0,1980,0,1,Y,W
128,0,53000,0,0,-203,1000,9,3844,0,1,0,0,0,31,133,0,1,7,Y,X
129,0,12000,0,0,-9,0,199,616,0,0,0,0,0,27,110,0,0,1,N,Y
130,0,0,0,4,-8782,4000,24922,17344,0,0,1,0,0,59,290,1251,0,6,N,Z
131,0,57000,0,0,-212,7000,307,4685,0,1,0,0,0,49,0,4109,0,1,N,A
132,0,77000,0,0,-391,1000,2970,2702,1000,0,0,0,0,30,0,4279,0,3,N,B
133,0,24000,0,0,-359,0,247,2364,0,1,0,0,0,21,0,1374,0,1,Y,C
134,0,27000,0,0,-331,5000,7507,1322,0,0,0,0,0,27,0,0,0,8,Y,D
135,0,46000,0,0,0,12000,12338,704,0,0,0,0,0,45,6310,193,0,4,N,E
136,0,23000,0,11,-47,0,430,1676,0,0,0,0,0,28,133,319,0,1,N,F
137,0,15000,3000,0,0,2000,9049,196,1000,0,0,0,0,28,500,0,0,1,N,G
138,0,35000,0,0,-31,0,0,240,0,1,0,0,0,25,154,0,0,9,Y,H
139,0,80000,0,0,-30,2000,7310,1,0,0,0,0,0,68,0,48141,0,4,N,I
140,0,28000,7000,0,-7,10000,17462,171,0,0,0,0,0,30,0,0,0,4,N,J
141,0,41000,1000,0,-552,3000,6043,1962,0,0,1,0,0,42,0,4217,0,1,Y,K
142,0,1000,0,0,0,0,0,581,0,0,0,0,0,19,0,0,4,5,N,L
143,0,22000,5000,0,0,2000,19790,112,0,0,1,0,0,20,0,0,4,4,Y,M
144,0,67000,0,0,-3880,5000,4415,9992,0,0,1,0,0,35,340,185,0,6,Y,N
145,0,16000,0,0,-61,-2000,28,3004,0,0,0,0,0,21,0,0,4,8,N,O
146,0,32000,0,3,0,0,191,0,0,0,0,0,0,43,0,0,0,4,N,P
147,0,29000,0,0,-232,0,1,2341,0,1,0,0,0,50,0,26,0,4,Y,Q
148,0,36000,2000,54,-25,4000,75,1305,0,1,0,0,0,41,517,0,4,1,N,R
149,0,69000,0,0,-31,1000,1527,636,0,0,0,0,0,29,0,0,0,1,N,S
150,0,2000,0,2922,-34,-36000,1868,1083,40000,0,0,0,0,25,487,0,4,1,N,T
151,0,84000,0,0,-2104,7000,135,13417,0,1,1,0,0,42,0,91861,0,5,Y,U
152,0,1000,0,0,0,0,132,2,0,0,0,0,0,19,0,0,3,5,N,V
153,0,0,1000,0,-137,5000,67,11831,0,0,1,0,0,51,0,14616,0,9,N,W
154,0,53000,0,0,-11,24000,11460,85,0,0,0,0,0,36,0,0,0,2,N,X
155,0,27000,0,0,-91,0,308,2093,0,1,0,0,0,35,205,0,3,4,Y,Y
156,0,0,0,0,0,0,51,0,0,0,0,0,0,18,0,0,0,1,N,Z
157,0,18000,0,0,-66,0,0,1106,0,1,0,0,0,44,47,0,0,9,Y,A
158,0,25000,0,0,-3,0,1980,1002,0,0,0,0,0,24,0,0,4,2,Y,B
159,0,1000,0,0,-3,0,13,168,0,0,0,0,0,18,0,0,1,8,N,C
160,0,20000,0,0,-34,4000,5582,1100,0,0,0,0,0,25,0,0,0,4,N,D
161,0,21000,0,0,-9,-5000,290,2955,25000,0,0,0,1,22,0,2232,1,1,N,E
162,0,49000,0,0,-1,-3000,505,1372,10000,0,0,0,0,56,0,8287,0,6,N,F
163,0,5000,0,0,-3,0,2619,281,0,0,0,0,0,24,0,0,0,1,N,G
164,0,90000,0,0,-61,0,585,10244,0,0,0,0,0,24,0,568,0,4,Y,H
165,0,0,0,0,0,0,27,0,0,0,0,0,0,18,0,0,4,4,N,I
166,0,38000,0,0,-219,5000,20051,1258,0,0,0,0,0,36,0,0,0,9,N,J
167,0,0,0,0,0,0,332,0,0,0,0,0,0,18,0,0,0,1,N,K
168,0,58000,1000,0,-7,3000,1787,9274,0,0,0,0,0,18,280,130,0,1,N,L
169,0,28000,0,0,-7,2000,2042,2451,0,0,0,0,0,42,0,2199,1,1,N,M
170,0,35000,0,1,-517,-1000,5,3659,0,1,0,0,0,22,20,19732,0,7,Y,N
171,0,23000,0,16,-71,0,279,269,0,0,0,0,0,41,142,0,1,9,Y,O
172,0,9000,1000,0,0,1000,1284,126,0,0,0,0,0,30,0,0,0,7,N,P
173,0,22000,1000,0,-1,2000,4025,873,0,0,0,0,0,22,0,263,0,8,N,Q
174,0,80000,0,0,-1749,-4000,1673,8038,0,0,1,0,0,39,21,4371,0,3,Y,R
175,0,45000,0,0,-2,1000,6850,4250,2000,0,0,0,0,33,0,1141,0,1,N,S
176,0,12000,0,0,-386,0,0,827,0,1,0,0,0,38,0,4840,0,4,Y,T
177,0,0,0,0,0,0,73,16,0,0,0,0,0,19,0,0,0,7,N,U
178,0,0,0,0,0,1000,790,0,0,0,0,0,0,18,0,0,0,2,N,V
179,0,24000,0,0,0,0,368,957,0,0,0,0,0,35,27,894,0,1,N,W
180,0,41000,0,0,-4,0,1253,796,0,0,0,0,0,25,0,0,0,1,N,X
181,0,143000,0,0,-6,3000,6093,12118,0,0,0,0,0,64,0,373,0,1,N,Y
182,0,7000,0,0,-28,0,792,83,0,0,1,0,0,22,1579,0,0,8,Y,Z
183,0,0,0,0,0,0,52,59,0,0,0,0,0,19,0,0,0,5,N,A
184,0,14000,0,0,-236,0,386,837,0,1,0,0,0,39,1,3246,0,8,Y,B
185,0,0,0,0,0,21000,0,1055,0,0,1,0,0,23,13659,0,0,1,N,C
186,0,12000,0,0,-8,0,4976,228,0,0,0,0,0,30,13,0,0,4,N,D
187,0,14000,0,0,-50,0,3,1499,0,1,0,0,0,38,0,641,0,1,N,E
188,0,17000,0,0,-809,2000,243,875,0,0,1,0,0,36,1032,805,4,5,Y,F
189,0,17000,0,0,-36,2000,854,517,0,0,0,0,0,31,0,45,0,5,Y,G
190,0,1000,0,0,-2,0,85,48,0,0,0,0,0,18,0,13,0,7,N,H
191,0,26000,0,0,-239,0,57,1334,0,1,0,0,0,28,0,5593,0,1,Y,I
192,0,0,4000,2015,-13,13000,18989,5351,0,0,0,0,0,48,16060,6953,0,5,N,J
193,0,33000,0,0,-115,2000,1662,4049,0,1,0,0,0,38,386,7972,0,5,Y,K
194,0,12000,0,0,-16,0,992,216,0,0,0,0,0,26,0,0,0,1,N,L
195,0,0,0,0,0,0,29,7,0,0,0,0,0,19,0,0,3,1,N,M
196,0,69000,0,0,-6,3000,3431,3143,3000,0,0,0,0,30,0,9411,0,2,N,N
197,0,19000,0,0,-117,0,11,1473,0,1,0,0,0,59,17,1398,0,2,Y,O
198,0,20000,0,0,0,1000,2676,685,0,0,0,0,0,43,0,8897,0,1,N,P
199,0,11000,0,0,0,0,2073,366,0,0,0,0,0,35,1,139,0,2,N,Q
200,1,70000,0,0,-1651,-13000,1146,21725,0,0,0,0,0,29,446,21856,3,7,N,R
201,0,35000,3000,174,-3,6000,4261,739,0,0,0,0,0,33,0,3455,0,4,N,S
202,0,16000,1000,838,-18,1000,3300,775,0,0,1,0,0,36,0,77,0,5,N,T
203,0,12000,1000,0,-1,1000,1613,396,9000,0,0,0,0,41,0,0,0,9,N,U
204,0,20000,0,0,-18,1000,1818,1239,0,0,0,0,0,31,95,0,0,7,N,V
205,0,10000,0,0,-42,0,1164,247,0,0,0,0,0,23,0,147,3,4,N,W
206,0,9000,0,0,-74,0,16,509,0,0,0,0,0,26,0,107,0,1,Y,X
207,0,0,0,0,0,0,66,1,0,0,0,0,0,18,0,0,0,2,N,Y
208,0,51000,0,0,-3518,-7000,757,8308,0,1,1,0,0,43,0,0,0,7,N,Z
209,0,0,0,0,-687,-15000,251,7052,0,0,0,0,0,21,0,5151,4,1,Y,A
210,0,317000,0,0,-484,1000,5611,26150,0,0,1,0,0,48,0,3828,0,4,Y,B
211,0,0,0,0,0,0,0,908,0,0,1,0,0,45,0,0,0,1,N,C
212,0,0,0,0,0,0,87,2,0,0,0,0,0,19,0,0,0,1,N,D
213,0,65000,0,29,0,5000,555,0,0,0,0,0,0,36,0,0,0,1,N,E
214,0,19000,0,0,-4,0,2968,1919,0,0,0,0,0,30,0,1818,0,1,N,F
215,0,0,0,0,-21,0,1,14,0,1,1,0,0,19,0,0,4,7,Y,G
216,0,2000,0,0,-12,0,388,8,0,0,0,0,0,35,0,0,0,4,Y,H
217,0,103000,0,0,-165,0,195,5928,4000,1,0,0,0,35,0,7324,0,4,N,I
218,0,27000,0,0,-54,0,454,351,0,0,0,0,0,28,0,5880,0,4,N,J
219,0,33000,1000,0,-49,1000,794,2389,0,0,0,0,0,25,0,304,0,2,Y,K
220,0,41000,0,0,-30,-2000,1940,2623,0,0,0,0,0,40,0,146,0,1,N,L
221,0,11000,0,0,-432,-1000,74,2232,1000,1,0,0,0,58,29,5214,1,2,Y,M
